OBJECTNUMMER;Detail;Locatie;Knelpuntnummer;Type_knelpunt;Beschrijving_knelpunt;Diersoorten;Type_oplossing;Beschrijving_oplossing;Beheergebied;Geschatte_kosten;Jaar_realisatie;Status;Foto;SELECTIE;FILTER;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
119;"Detail122.jpg";"Etnastraat / Ookmeerweg";"NW70";"Autoweg";"De Ookmeerweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Ookmeerweg voorzien van een Faunapassage.";"DIVV, Stadsdeel Nieuw West";"30.000 - 70.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.7711508,52.3544242)";"POINT(52.3544242,4.7711508)";"4,7711508";"52,3544242";
121;"P1010666 - kopie.JPG";"Sluis Slotervaart";"NW79";"Sluis, beschoeiing";"De beschoeiing en een sluis in de Slotervaart maken het voor dieren lastig om te passeren. Onderdeel van de Groene As.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Slotervaart voorzien van een FUP, de weg voorzien van faunagoten en de sluis voorzien van faunarichels.";"AGV, Stadsdeel Nieuw West";"";2016;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(4.7937438,52.3442046)";"POINT(52.3442046,4.7937438)";"4,7937438";"52,3442046";
122;"";"Sluis Slotervaart";"NW78";"Sluis, beschoeiing";"De beschoeiing en een sluis in de Slotervaart maken het voor dieren lastig om te passeren. Onderdeel van de Groene As.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Slotervaart voorzien van een FUP, de weg voorzien van faunagoten en de sluis voorzien van faunarichels.";"AGV, Stadsdeel Nieuw West";"";2016;"Gerealiseerd";"P1010664 - kopie.JPG";"FUP";"GEREALISEERD";"POINT(4.794169,52.344449)";"POINT(52.344449,4.794169)";"4,794169";"52,344449";
123;"Detail124.jpg";"Hoek Slotervaart en Ringvaart";"NW81";"Beschoeiing";"Beschoeiing maakt het voor dieren lastig om uit de Slotervaart te komen. Onderdeel van de Groene As.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"";"AGV, Stadsdeel Nieuw West";"30.000 - 60.000";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(4.7917349,52.3415572)";"POINT(52.3415572,4.7917349)";"4,7917349";"52,3415572";
124;"Detail125.jpg";"Sloterweg";"NW82";"Autoweg";"Er loopt een sloot onder de Sloterweg door.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De Sloterweg voorzien van een (getrapte?) ecoduiker met faunarichels.";"Stadsdeel Nieuw West";"5.000 – 10.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.80147,52.3413703)";"POINT(52.3413703,4.80147)";"4,80147";"52,3413703";
125;"Detail126.jpg";"Jan Evertsenstraat ten oosten van Oostoever";"NW32";"Brug";"Een brug vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De Jan Evertsenstraat voorzien van een Faunarichel.";"Stadsdeel Nieuw West, DIVV";"5.000 – 10.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.8321049,52.3703124)";"POINT(52.3703124,4.8321049)";"4,8321049";"52,3703124";
126;"Detail127.jpg";"Oostoever bij Café Oostoever";"NW31";"Brug";"Een brug vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De Oostoever voorzien van een faunarichel.";"Stadsdeel Nieuw West, DIVV";"5.000 – 10.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.8304808,52.3698165)";"POINT(52.3698165,4.8304808)";"4,8304808";"52,3698165";
127;"";"Gemaal Halfweg Wethouder van Essenweg";"HA03";"Gemaal";"Het gemaal in de Amerikahaven bij Zijkanaal F maakt het voor trekvissen erg lastig om te passeren.";"Vissen";"Vispassage";"De sluis voorzien van een vispassage.";"Rijnland, RWS";"";2014;"Gerealiseerd";"2016 Faunapassages 23 nov 085 - kopie.JPG";"VIS";"GEREALISEERD";"POINT(4.7714102,52.3925025)";"POINT(52.3925025,4.7714102)";"4,7714102";"52,3925025";
128;"Detail130.jpg";"Burgemeester Colijnweg bij Schipholdraaibrug";"Av08";"A9";"Een bestaande fietstunnel loopt onder de Burgemeester Colijnweg door.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Een bestaande fietstunnel voorzien van een Faunapassage. Wordt gerealiseerd in 2018.";"RWS";"";2014;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.816478,52.3111579)";"POINT(52.3111579,4.816478)";"4,816478";"52,3111579";
129;"Detail131.jpg";"Nieuwe Meerlaan";"Av09";"Autoweg";"Wegverkeer";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Een ecoduiker met faunarichels onder de Nieuwe Meerlaan aanleggen.";"Amsterdamse Bos";"";2015;"Gerealiseerd";"foto.JPG";"PASSAGE";"GEREALISEERD";"POINT(4.8192871,52.3073241)";"POINT(52.3073241,4.8192871)";"4,8192871";"52,3073241";
130;"Detail132.jpg";"Bosrandweg";"Av11";"Autoweg, brug, beschoeiing - N232 Ringvaart";"De Bosrandweg vormt een barrière, en de beschoeiing in de aangrenzende Ringvaart maakt het voor dieren lastig om het water uit te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Bosrandweg voorzien van een Faunapassage, de Bosrandbrug voorzien van een faunarichel en de Ringvaart voorzien van FUP’s. Dit kan worden gekoppeld aan project N232.";"Provincie Noord-Holland";"";2019;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.809793,52.305601)";"POINT(52.305601,4.809793)";"4,809793";"52,305601";
132;"Detail132.jpg";"Bosrandweg";"Av18";"Autoweg, brug, beschoeiing - N232 Ringvaart";"De Bosrandweg vormt een barrière, en de beschoeiing in de aangrenzende Ringvaart maakt het voor dieren lastig om het water uit te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Bosrandweg voorzien van een Faunapassage, de Bosrandbrug voorzien van een faunarichel en de Ringvaart voorzien van FUP’s. Dit kan worden gekoppeld aan project N232.";"Provincie Noord-Holland";"Faunapassage: 20.000 – 50.000 # Faunarichel: 5.000 – 10.000 # FUP: 10.000 - 20.000";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(4.8130548,52.3076483)";"POINT(52.3076483,4.8130548)";"4,8130548";"52,3076483";
133;"Detail133.jpg";"Kruispunt Bosrandweg – Nieuwe Meerlaan";"Av12";"Autoweg";"Een bestaande Faunapassage dreigt zijn functionaliteit te verliezen dankzij een wegverbreding";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Een bestaande Faunapassage verlengen/aanpassen naar aanleiding van het aanleggen van extra rijstroken bij de Bosrandweg en Nieuwe Meerlaan. Dit kan worden gekoppeld aan project N232.";"Provincie Noord-Holland";"";2019;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.8116,52.304596)";"POINT(52.304596,4.8116)";"4,8116";"52,304596";
134;"Detail135.jpg";"Bosrandweg";"Av15";"Autoweg";"De Bosrandweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Een extra Faunapassage onder de BRW is wenselijk, zeker als de BRW wordt verbreed. Deze Faunapassage zal dan in het verlengde van de Grote Tocht in het Schinkelbos moeten komen te liggen. Tevens wordt de oever aangepast.";"Provincie Noord-Holland, Gemeente Aalsmeer emn Amstelveen";"25.000 - 50.000";2019;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.81525,52.299433)";"POINT(52.299433,4.81525)";"4,81525";"52,299433";
135;"Detail137.jpg";"Amsterdam Rijnkanaal thv Nesciobrug";"O041";"ARK";"Steile oever.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De oevers aan de Zuid kant voorzien van een FUP, geraliseerd in 2013";"RWS";"";2014;"Gerealiseerd";"FUP Nesciobrug.JPG";"FUP";"GEREALISEERD";"POINT(4.966944,52.3561904)";"POINT(52.3561904,4.966944)";"4,966944";"52,3561904";
136;"Detail138.jpg";"Molukkenstraat";"O016";"Autoweg";"De Archimedesweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"Het spoor voorzien van een faunagoot.";"ProRail, Stadsdeel Oost";"150.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.9401438,52.3567015)";"POINT(52.3567015,4.9401438)";"4,9401438";"52,3567015";
137;"Detail140.jpg";"Ringvaart (einde Valentijnkade)";"O015";"(Spoor)brug";"De spoorlijn en brug vormen een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunarichel";"De spoorbrug voorzien van faunarichels.";"ProRail, Stadsdeel Oost";"10.000 - 15.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.9372661,52.3576247)";"POINT(52.3576247,4.9372661)";"4,9372661";"52,3576247";
138;"Detail141.jpg";"Middenweg / Ringweg A10";"O028";"Autoweg";"De middenweg vormt een barrière voor de groene taluds van de A10.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Middenweg voorzien van een Faunapassage.";"RWS, Stadsdeel Oost, DIVV";"500.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.9515188,52.3408476)";"POINT(52.3408476,4.9515188)";"4,9515188";"52,3408476";
139;"20141201_111554.jpg";"Weersloot RW10 Zuiderzeeweg";"N031";"A10";"De Ringweg A10 en de Zuiderzeeweg vormen een barrière voor de groene oevers van de Weersloot.";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Faunarichel";"Faunarichels en verlichting";"Noorderkwartier, Stadsdeel Noord, RWS";"";2015;"Gerealiseerd";"20141201_111554.jpg";"RICHEL";"GEREALISEERD";"POINT(4.9692151,52.3870932)";"POINT(52.3870932,4.9692151)";"4,9692151";"52,3870932";
140;"Detail146.jpg";"Oeverpark Schellingwoude / Schellingwouderbeek / Weersloot";"N029";"Dijk";"Er dient een groene verbinding te komen tussen de Schellingwouderbreek en het buitendijkgebied.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De weg voorzien van een Faunapassage.";"Noorderkwartier, Stadsdeel Noord, RWS";"25.000 – 50.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.9529421,52.3865744)";"POINT(52.3865744,4.9529421)";"4,9529421";"52,3865744";
141;"";"Nieuwe Leeuwarderweg bij J.H. van Heekweg";"N023";"Autoweg";"De Nieuwe Leeuwarderweg vormt een barrière.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang is in 2015 voorzien van stortsteen.";"RWS, Stadsdeel Noord";"";2015;"Gerealiseerd";"";"ONDER";"GEREALISEERD";"POINT(4.937299,52.4051482)";"POINT(52.4051482,4.937299)";"4,937299";"52,4051482";
142;"Detail150.jpg";"Twiske Zijkanaal I";"N013";"Dijk";"De Oostzanerdijk vormt een barriere tussen ‘t Twiske en Zijkanaal I.";"Vissen";"Vispassage";"";"Noorderkwartier, Stadsdeel Noord";"€ 1.500.000";0;"Op termijn";"";"VIS";"OP_TERMIJN";"POINT(4.8961461,52.4162146)";"POINT(52.4162146,4.8961461)";"4,8961461";"52,4162146";
143;"";"Kadoelerscheg, onderdoorgang RW10 bij Achtersteven";"N017";"A10";"De groene oevers van de IJdoornlaan en de Nieuwe Gouw dienen met elkaar verbonden te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"looprichel aanbrengen";"Stadsdeel Noord";"";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(4.9194062,52.4158751)";"POINT(52.4158751,4.9194062)";"4,9194062";"52,4158751";
145;"Faunarichel Goudestein_GT.jpg";"Goudestein";"Zu18";"Autoweg/brug vormt barriere in de groenstrook en Ecolint langs de oever";"";"Amfibieën - Kleine zoogdieren";"Faunarichel";"Faunarichels aanleggen in de duiken onder de Goudestein.";"Stadsdeel Zuid";"";2016;"Gerealiseerd";"";"RICHEL";"GEREALISEERD";"POINT(4.862315,52.326106)";"POINT(52.326106,4.862315)";"4,862315";"52,326106";
146;"Detail153.jpg";"Heenvlietlaan";"Zu13";"Autoweg";"De Heenvlietlaan vormt een barrière in het Gijsbrecht van Aemstelpark.";"Boom bewonende zoogdieren";"Eekhoornbrug";"De Heenvlietlaan voorzien van een Faunapassage. De eekhoornbrug is gerealiseerd in 2012.";"DIVV, Stadsdeel Zuid";"";2013;"Gerealiseerd";"foto 1 eekhoornbrug 2.jpg";"BRUG";"GEREALISEERD";"POINT(4.88255,52.3292624)";"POINT(52.3292624,4.88255)";"4,88255";"52,3292624";
147;"Detail153.jpg";"Heenvlietlaan";"Zu12";"Autoweg";"De Heenvlietlaan vormt een barrière in het Gijsbrecht van Aemstelpark.";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Heenvlietlaan voorzien van een Faunapassage. De eekhoornbrug is gerealiseerd in 2012.";"DIVV, Stadsdeel Zuid";"";2017;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.88254,52.329414)";"POINT(52.329414,4.88254)";"4,88254";"52,329414";
148;"Detail154.jpg";"Buitenveldertselaan";"Zu20";"Autoweg";"De Buitenvelderstelaan vormt een barrière in ’t Kleine Loopveld.";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Buitenveldertselaan voorzien van een Faunapassage.";"Stadsdeel Zuid";"";2016;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.8690998,52.3227889)";"POINT(52.3227889,4.8690998)";"4,8690998";"52,3227889";
149;"Detail156.jpg";"Langbroekdreef door Gaasperplas-Zuid";"Zo15";"Rijweg";"De groene verbinding tussen het Bijlmerpark en de Gaasperplas dient te worden geoptimaliseerd.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De bestaande ondergang stortstenen ingericht.";"Stadsdeel Zuidoost";"";2014;"Gerealiseerd";"";"ONDER";"GEREALISEERD";"POINT(4.9778979,52.3034293)";"POINT(52.3034293,4.9778979)";"4,9778979";"52,3034293";
150;"Detail157.jpg";"Valburgdreef";"Zo16";"Rijweg";"Doorlopende groenstrook / oever verbinden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"";"DIVV, Stadsdeel Zuidoost";"";0;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.9800279,52.3014914)";"POINT(52.3014914,4.9800279)";"4,9800279";"52,3014914";
151;"Detail158.jpg";"Schoonhovendreef";"Zo18";"Rijweg";"Doorlopende groenstrook oever verbinden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"";"DIVV, Stadsdeel Zuidoost";"";2014;"Gerealiseerd";"Schoonhovendreef.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.9818852,52.2927214)";"POINT(52.2927214,4.9818852)";"4,9818852";"52,2927214";
152;"Detail160.jpg";"Verbinding met Ooster Ringdijk aan begin met Mc. Gillavrylaan";"O015";"Brug";"De Molukkenstraat is een barrière in de groene oeververbinding van de Ringvaart.";"Amfibieën - Kleine zoogdieren";"Faunarichel";"";"Stadsdeel Oost, AGV";"10.000 - 15.000";0;"Op termijn";"";"RICHEL";"OP_TERMIJN";"POINT(4.9410798,52.3583037)";"POINT(52.3583037,4.9410798)";"4,9410798";"52,3583037";
153;"Detail166.jpg";"Amstel / Duivendrechtse Vaart";"O029";"Beschoeiing";"De walkant van de Duivendrechtse Vaart betreedbaar maken. Onderdeel van het Ecolint.";"Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De oevers van de Duivendrechtse voorzien van een FUP.";"Stadsdeel Oost, AGV";"10.000 - 20.000";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(4.9120161,52.3386542)";"POINT(52.3386542,4.9120161)";"4,9120161";"52,3386542";
154;"Detail167.jpg";"Amstel Westoever bij Ring A10";"Zu16";"Beschoeiing";"";"Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Amstel Westoever voorzien van een FUP.";"";"30.000 - 50.000";0;"Op termijn";"Amsteloever Oost thv Rozenoordbrug.jpg";"FUP";"OP_TERMIJN";"POINT(4.8987208,52.3333588)";"POINT(52.3333588,4.8987208)";"4,8987208";"52,3333588";
155;"Detail169.jpg";"Bijlmerweide, Provinciale Weg bij Kinderboerderij De Bijlmerweide";"Zo04";"Autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Westerlijke oever voorzien van een FUP. De Provinciale weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel ZuidOost";"";2018;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.992636,52.322466)";"POINT(52.322466,4.992636)";"4,992636";"52,322466";
156;"Detail169.jpg";"Bijlmerweide, Provinciale Weg bij Kinderboerderij De Bijlmerweide";"Zo03";"Beschoeiing, autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De Westerlijke oever voorzien van een FUP. De Provinciale weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel ZuidOost";"Faunapassage: 15.000 - 30.000 # FUP: 10.000 - 15.000";2017;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(4.992254,52.322583)";"POINT(52.322583,4.992254)";"4,992254";"52,322583";
157;"Detail170.jpg";"Loostwegdreef";"Zo06";"Autoweg";"Onderdeel van de Natuurboog.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"dichte buis onderweg";"Stadsdeel Zuid, DIVV";"";2005;"Gerealiseerd";"Loosdrechtdreef.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.9947951,52.3153731)";"POINT(52.3153731,4.9947951)";"4,9947951";"52,3153731";
158;"Detail171.jpg";"Gaasperplas, Provinciale weg bij Gaaspercamping";"Zo08";"Beschoeiing, autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Westerlijke oever voorzien van een FUP. De Provinciale weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel Zuidoost";"Faunapassage: 15.000 - 30.000 # FUP: 10.000 - 15.000";2018;"In de planning";"P1000213.JPG";"PASSAGE";"INGEPLAND";"POINT(4.9955479,52.3141564)";"POINT(52.3141564,4.9955479)";"4,9955479";"52,3141564";
159;"Detail171.jpg";"Gaasperplas, Provinciale weg bij Gaaspercamping";"Zo07";"Beschoeiing, autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De Westerlijke oever voorzien van een FUP. De Provinciale weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel Zuidoost";"F";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(4.996414,52.313178)";"POINT(52.313178,4.996414)";"4,996414";"52,313178";
160;"Detail172.jpg";"Gaasperplas, Provinciale weg bij IJsbaan / Driemond";"Zo10";"Beschoeiing, autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Westerlijke oever voorzien van een FUP. De weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel Zuidoost";"Faunapassage: 15.000 - 30.000 # FUP: 10.000 - 15.000";0;"Op termijn";"";"PASSAGE";"OP_TERMIJN";"POINT(5.008661,52.3086249)";"POINT(52.3086249,5.008661)";"5,008661";"52,3086249";
161;"Detail172.jpg";"Gaasperplas, Provinciale weg bij IJsbaan / Driemond";"Zo09";"Beschoeiing, autoweg";"De verbinding tussen de Bijlmerweide en het Diemerbos dient geoptimaliseerd te worden.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"De Westerlijke oever voorzien van een FUP. De weg voorzien van een Faunapassage.";"AGV, DIVV, Stadsdeel Zuidoost";"Faunapassage: 15.000 - 30.000 # FUP: 10.000 - 15.000";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(5.0084131,52.3087508)";"POINT(52.3087508,5.0084131)";"5,0084131";"52,3087508";
162;"Detail176.jpg";"Sluis Kleine Wetering - Amstel";"Zu04";"Sluis";"Gesloten sluisdeuren belemmeren vismigratie";"Vissen";"Vispassage";"";"stadsdeel Zuid";"150.000";0;"Op termijn";"Sluis Zuidelijke Wandelweg.png";"VIS";"OP_TERMIJN";"POINT(4.9028752,52.3369948)";"POINT(52.3369948,4.9028752)";"4,9028752";"52,3369948";
163;"Detail177.jpg";"Nieuwe Meer Amstel boezem";"Zu01";"Sluis";"Knelpunt Amstel – Kleine Wetering.";"Vissen";"Vispassage";"De sluis voorzien van een vispassage.";"AGV";"";0;"Op termijn";"sluis.jpg";"VIS";"OP_TERMIJN";"POINT(4.8481448,52.3403937)";"POINT(52.3403937,4.8481448)";"4,8481448";"52,3403937";
164;"";"Hatostraat";"NW16";"Spoorlijn";"Verbinden spoorbermen onder de spoorlijnen door thv van station Sloterdijk.";"Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen";"Prorail, Haven Amsterdam";"5.000 - 10.000";0;"Op termijn";"NW16 2016.JPG";"ONDER";"OP_TERMIJN";"POINT(4.8369868,52.3893859)";"POINT(52.3893859,4.8369868)";"4,8369868";"52,3893859";
165;"";"Beatrixpark";"Zu03";"Spoorlijn, A10";"Verbinden van het Beatrixpark met het sportpark";"Kleine zoogdieren";"Faunapassage";"De onderdoorgang voorzien van stortsteen";"Projectburo Zuidas";"";2020;"In de planning";"";"PASSAGE";"INGEPLAND";"POINT(4.88428,52.3391005)";"POINT(52.3391005,4.88428)";"4,88428";"52,3391005";
166;"";"Zijkanaal I, Kadoelen";"N016";"Gemaal";"Verbinden Waterland met Noordzeekanaalboezem";"Vissen";"Vispassage";"Het gemaal voorzoien van een vispassage";"Noorderkwartier";"";2015;"Gerealiseerd";"";"VIS";"GEREALISEERD";"POINT(4.9093082,52.4087531)";"POINT(52.4087531,4.9093082)";"4,9093082";"52,4087531";
167;"";"Zijkanaal H, Barndegat, Overtoom";"N004";"Gemaal";"Verbinden Zaanstreek met Noordzeekanaalboezem";"Vissen";"Vispassage";"Het gemaal is in 2014 voorzien van een vispassage";"HHNK";"";2015;"Gerealiseerd";"";"VIS";"GEREALISEERD";"POINT(4.862499,52.4300009)";"POINT(52.4300009,4.862499)";"4,862499";"52,4300009";
168;"";"Amsterdam Rijnkanaal";"WS01";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk om uit het Amsterdams Rijnkanaal te komen.";"Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"Beide oevers voorzien van een FUP.";"Rijkswaterstaat, gemeente Weesp";"";0;"Op termijn";"";"FUP";"OP_TERMIJN";"POINT(5.0210259,52.2899291)";"POINT(52.2899291,5.0210259)";"5,0210259";"52,2899291";
169;"";"Amsterdam Rijnkanaal";"WS02";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk om uit het Amsterdams Rijnkanaal te komen.";"Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"Beide oevers voorzien van een FUP. Kanttekening: Misschien nodig om ook de aangrenzende weg op de oostelijke oever te voorzien van een Faunapassage.";"Rijkswaterstaat, gemeente Weesp";"";2017;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(5.0191419,52.2724093)";"POINT(52.2724093,5.0191419)";"5,0191419";"52,2724093";
170;"";"Oude Haagse weg over de ringvaart";"NW47";"Brug";"Oude Haagse weg";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"Groenstrook aangelegd in het kader van De Groene AS langs busbaan";"IVV";"";2005;"Gerealiseerd";"oude-haagse-weg.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.8065202,52.3315703)";"POINT(52.3315703,4.8065202)";"4,8065202";"52,3315703";
179;"";"Diemerzeedijk";"O012";"Autoweg/fietspad";"De Diemerzeedijk is een barriere tussen het Diemerpark en de  Ecologische verbindingszone Bovendiep";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunapassage";"een dubbele passage verbindt de natuur aan beide zijden van de Diemerzeedijk";"";"";2010;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.9744461,52.3570944)";"POINT(52.3570944,4.9744461)";"4,9744461";"52,3570944";
180;"";"Diemerzeedijk";"O008";"rijweg/fietspad";"De Diemerzeedijk is een barriere tussen het Nieuwe Diep en de  Ecologische verbindingszone Bovendiep";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunapassage";"";"";"";2010;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.9671562,52.3612067)";"POINT(52.3612067,4.9671562)";"4,9671562";"52,3612067";
181;"";"Diemerzeedijk ";"O005";"rijweg/fietspad";"De Diemerzeedijk is een barriere tussen de oever van het ARK en de  Ecologische verbindingszone Bovendiep";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunapassage";"";"";"";2012;"Gerealiseerd";"IMG_3526.JPG";"PASSAGE";"GEREALISEERD";"POINT(4.9593241,52.3642737)";"POINT(52.3642737,4.9593241)";"4,9593241";"52,3642737";
182;"";"Buitenkerkerweg";"O011";"Rijweg";"De rijweg is een barriere tussen het Diemerpark en de  Ecologische verbindingszone Bovendiep";"Amfibieën - Kleine zoogdieren - Reptielen";"Faunapassage";"aanleg van passage in rijweg, zodat leefebieden van de ringslang met elkaar zijn verbonden";"";"";2010;"Gerealiseerd";"";"PASSAGE";"GEREALISEERD";"POINT(4.973335,52.357144)";"POINT(52.357144,4.973335)";"4,973335";"52,357144";
184;"";"Bovendiep";"O007";"Open water";"Het ontbreken van rietland maakt het voor o.a. ringslang, waterspitsmuis moeilijk om zich langs de Diemerzeedijk te verplaasten";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Aanleg van de Ecologische Verbindingszone (EVZ) Bovendiep in de vorm van ondiepets en rieteilanden";"stadsdeel Oost";"";2013;"Gerealiseerd";"EVZ Bovendiep thv Gemeenlandhuis.jpg";"RIET";"GEREALISEERD";"POINT(4.9648168,52.3623473)";"POINT(52.3623473,4.9648168)";"4,9648168";"52,3623473";
185;"";"Bovendiep";"O004";"Open water";"Het ontbreken van rietland maakt het voor o.a. ringslang, waterspitsmuis moeilijk om zich langs de Diemerzeedijk te verplaasten";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Aanleg van de Ecologische Verbindingszone (EVZ) Bovendiep in de vorm van ondiepets en rieteilanden";"stadsdeel Oost";"";2013;"Gerealiseerd";"EVZ Bovendiep Panorama.jpg";"RIET";"GEREALISEERD";"POINT(4.9628212,52.3651702)";"POINT(52.3651702,4.9628212)";"4,9628212";"52,3651702";
